repeat,tick,warmup,phase,cpu_ms
1,1,true,ready,0.1186671257019043
1,2,true,ready,0.008208036422729492
1,3,true,ready,0.0051250457763671875
1,4,true,ready,0.004791975021362305
1,5,true,ready,0.01433420181274414
1,6,true,ready,0.0048329830169677734
1,7,true,ready,0.004416942596435547
1,8,true,ready,0.11708402633666992
1,9,true,ready,0.1492908000946045
1,10,true,ready,0.0065419673919677734
1,11,true,ready,0.003041982650756836
1,12,true,ready,0.001917123794555664
1,13,true,ready,0.003625154495239258
1,14,true,ready,0.0032079219818115234
1,15,true,ready,0.0017499923706054688
1,16,true,ready,0.0017080307006835938
1,17,true,ready,0.00162506103515625
1,18,true,ready,0.00162506103515625
1,19,true,ready,0.0021250247955322266
1,20,true,ready,0.002292156219482422
1,21,true,ready,0.0021250247955322266
1,22,true,ready,0.002042055130004883
1,23,true,ready,0.0021250247955322266
1,24,true,ready,0.0019998550415039062
1,25,true,ready,0.00208282470703125
1,26,true,ready,0.002042055130004883
1,27,true,ready,0.0022079944610595703
1,28,true,ready,0.0019168853759765625
1,29,true,ready,0.00162506103515625
1,30,true,ready,0.001667022705078125
1,31,true,ready,0.0015840530395507812
1,32,true,ready,0.002084016799926758
1,33,true,ready,0.0020418167114257812
1,34,true,ready,0.0020418167114257812
1,35,true,ready,0.002042055130004883
1,36,true,ready,0.002042055130004883
1,37,true,ready,0.002042055130004883
1,38,true,ready,0.0020418167114257812
1,39,true,ready,0.0019998550415039062
1,40,true,ready,0.0022499561309814453
1,41,true,ready,0.0017080307006835938
1,42,true,ready,0.00162506103515625
1,43,true,ready,0.0015828609466552734
1,44,true,ready,0.0021250247955322266
1,45,true,ready,0.00162506103515625
1,46,true,ready,0.0019168853759765625
1,47,true,ready,0.0021660327911376953
1,48,true,ready,0.0019998550415039062
1,49,true,ready,0.0020418167114257812
1,50,true,ready,0.002042055130004883
1,51,true,ready,0.0018749237060546875
1,52,true,ready,0.0016248226165771484
1,53,true,ready,0.001667022705078125
1,54,true,ready,0.00162506103515625
1,55,true,ready,0.0015840530395507812
1,56,true,ready,0.002042055130004883
1,57,true,ready,0.0021250247955322266
1,58,true,ready,0.001959085464477539
1,59,true,ready,0.0020411014556884766
1,60,true,ready,0.002084016799926758
1,61,true,ready,0.002042055130004883
1,62,true,ready,0.0019998550415039062
1,63,true,ready,0.0017080307006835938
1,64,true,ready,0.001667022705078125
1,65,true,ready,0.00162506103515625
1,66,true,ready,0.00162506103515625
1,67,true,ready,0.0016248226165771484
1,68,true,ready,0.00162506103515625
1,69,true,ready,0.001583099365234375
1,70,true,ready,0.00162506103515625
1,71,true,ready,0.001583099365234375
1,72,true,ready,0.00162506103515625
1,73,true,ready,0.00162506103515625
1,74,true,ready,0.00162506103515625
1,75,true,ready,0.001583099365234375
1,76,true,ready,0.00162506103515625
1,77,true,ready,0.00162506103515625
1,78,true,ready,0.00162506103515625
1,79,true,ready,0.0016248226165771484
1,80,true,ready,0.0016248226165771484
1,81,true,ready,0.0015828609466552734
1,82,true,ready,0.00162506103515625
1,83,true,ready,0.0017080307006835938
1,84,true,ready,0.00162506103515625
1,85,true,ready,0.00162506103515625
1,86,true,ready,0.00162506103515625
1,87,true,ready,0.00162506103515625
1,88,true,ready,0.001583099365234375
1,89,true,ready,0.00162506103515625
1,90,true,ready,0.00162506103515625
1,91,true,ready,0.00162506103515625
1,92,true,ready,0.001667022705078125
1,93,true,ready,0.00162506103515625
1,94,true,ready,0.00162506103515625
1,95,true,ready,0.00162506103515625
1,96,true,ready,0.001667022705078125
1,97,true,ready,0.001667022705078125
1,98,true,ready,0.00162506103515625
1,99,true,ready,0.00162506103515625
1,100,true,ready,0.00162506103515625
1,101,true,ready,0.00162506103515625
1,102,true,ready,0.00162506103515625
1,103,true,ready,0.00162506103515625
1,104,true,ready,0.00162506103515625
1,105,true,ready,0.00162506103515625
1,106,true,ready,0.001583099365234375
1,107,true,ready,0.00162506103515625
1,108,true,ready,0.00162506103515625
1,109,true,ready,0.0015840530395507812
1,110,true,ready,0.00162506103515625
1,111,true,ready,0.0017499923706054688
1,112,true,ready,0.00162506103515625
1,113,true,ready,0.0015840530395507812
1,114,true,ready,0.001583099365234375
1,115,true,ready,0.00162506103515625
1,116,true,ready,0.00162506103515625
1,117,true,ready,0.0015828609466552734
1,118,true,ready,0.0017080307006835938
1,119,true,ready,0.0016667842864990234
1,120,true,rally,0.07862496376037598
1,121,false,rally,0.16112494468688965
1,122,false,rally,0.012666940689086914
1,123,false,rally,0.0035409927368164062
1,124,false,rally,0.003000020980834961
1,125,false,rally,0.0027909278869628906
1,126,false,rally,0.002791881561279297
1,127,false,rally,0.002749919891357422
1,128,false,rally,0.003041982650756836
1,129,false,rally,0.0028748512268066406
