repeat,scenario,viewer,mode,emitted_snapshots,emitted_json_bytes,delivered_snapshots,delivered_json_bytes,accepted_snapshots,rejected_snapshots,underflow_episodes,measured_underflow_episodes,arrival_interval_sd_ms,motion_p95,zero_motion_fraction,source_age_mean_ms_model,source_age_p95_ms_model,same_tick_error_p95,display_cpu_p95_ms
1,20hz_nominal_rtt_0,viewer,latest,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,36.90000000000002,0.6739130434782609,16.666666666666863,33.33333333333394,0,0.0014581680297851562
1,20hz_nominal_rtt_0,viewer,interpolate,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,12.30000000000002,0.021739130434782608,100.69444444444444,100,0,0.003542184829711914
1,20hz_nominal_rtt_100,viewer,latest,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,36.90000000000002,0.6739130434782609,66.66666666666667,83.33333333333394,0,0.001332998275756836
1,20hz_nominal_rtt_100,viewer,interpolate,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,12.300000000001386,0.021739130434782608,150.69444444444446,150,0,0.002749919891357422
1,20hz_nominal_rtt_200,viewer,latest,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,36.90000000000002,0.6739130434782609,116.66666666666667,133.33333333333394,0,0.0008330345153808594
1,20hz_nominal_rtt_200,viewer,interpolate,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,12.300000000001386,0.021739130434782608,200.69444444444446,200,0,0.0012907981872558594
1,30hz_nominal_rtt_100,viewer,latest,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,24.60000000000004,0.5054229934924078,58.333333333333336,66.66666666666788,0,0.0009169578552246094
1,30hz_nominal_rtt_100,viewer,interpolate,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,12.30000000000002,0.010845986984815618,150.2314814814815,150,0,0.0012500286102294922
1,60hz_nominal_rtt_100,viewer,latest,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,50,50,0,0.0007920265197753906
1,60hz_nominal_rtt_100,viewer,interpolate,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,150,150,0,0.0009999275207519531
1,20hz_ordered_jitter,viewer,latest,281,217687,279,216202,279,0,0,0,30.377964898864843,36.900000000000055,0.7170626349892009,78.26388888888889,116.66666666666788,0,0.0007500648498535156
1,20hz_ordered_jitter,viewer,interpolate,281,217687,279,216202,279,0,97,85,30.377964898864843,17.042314268610816,0.05434782608695652,112.99367712133721,133.33333333333303,0,0.0027501583099365234
1,20hz_asymmetric_observers,observer_20ms,latest,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,36.90000000000002,0.6739130434782609,50.00000000000002,66.66666666666788,0,0.0009579658508300781
1,20hz_asymmetric_observers,observer_20ms,interpolate,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,12.300000000001386,0.021739130434782608,121.25,120,0,0.0012500286102294922
1,20hz_asymmetric_observers,observer_80ms,latest,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,36.90000000000002,0.6739130434782609,100,116.66666666666788,0,0.0008749961853027344
1,20hz_asymmetric_observers,observer_80ms,interpolate,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,12.300000000001406,0.021739130434782608,180.83333333333331,180.00000000000045,0,0.001374959945678711
1,20hz_application_omission,viewer,latest,281,217687,241,186632,241,0,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0008749961853027344
1,20hz_application_omission,viewer,interpolate,281,217687,241,186632,241,0,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.001332998275756836
1,20hz_application_reorder,viewer,latest,281,217687,280,216944,241,39,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0009160041809082031
1,20hz_application_reorder,viewer,interpolate,281,217687,280,216944,241,39,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.001332998275756836
2,20hz_nominal_rtt_0,viewer,latest,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,36.90000000000002,0.6739130434782609,16.666666666666863,33.33333333333394,0,0.0008749961853027344
2,20hz_nominal_rtt_0,viewer,interpolate,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,12.30000000000002,0.021739130434782608,100.69444444444444,100,0,0.001332998275756836
2,20hz_nominal_rtt_100,viewer,latest,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,36.90000000000002,0.6739130434782609,66.66666666666667,83.33333333333394,0,0.0008330345153808594
2,20hz_nominal_rtt_100,viewer,interpolate,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,12.300000000001386,0.021739130434782608,150.69444444444446,150,0,0.001332998275756836
2,20hz_nominal_rtt_200,viewer,latest,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,36.90000000000002,0.6739130434782609,116.66666666666667,133.33333333333394,0,0.0009160041809082031
2,20hz_nominal_rtt_200,viewer,interpolate,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,12.300000000001386,0.021739130434782608,200.69444444444446,200,0,0.0012919902801513672
2,30hz_nominal_rtt_100,viewer,latest,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,24.60000000000004,0.5054229934924078,58.333333333333336,66.66666666666788,0,0.0007920265197753906
2,30hz_nominal_rtt_100,viewer,interpolate,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,12.30000000000002,0.010845986984815618,150.2314814814815,150,0,0.001332998275756836
2,60hz_nominal_rtt_100,viewer,latest,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,50,50,0,0.0009160041809082031
2,60hz_nominal_rtt_100,viewer,interpolate,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,150,150,0,0.0010421276092529297
2,20hz_ordered_jitter,viewer,latest,281,217687,280,216944,280,0,0,0,31.549293300644337,36.900000000000055,0.7161016949152542,74.51388888888889,116.66666666666788,0,0.0008749961853027344
2,20hz_ordered_jitter,viewer,interpolate,281,217687,280,216944,280,0,78,67,31.549293300644337,17.176340941562454,0.041304347826086954,112.27998827824698,116.66666666666788,1.1368683772161603e-13,0.0013339519500732422
2,20hz_asymmetric_observers,observer_20ms,latest,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,36.90000000000002,0.6739130434782609,50.00000000000002,66.66666666666788,0,0.0008749961853027344
2,20hz_asymmetric_observers,observer_20ms,interpolate,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,12.300000000001386,0.021739130434782608,121.25,120,0,0.001332998275756836
2,20hz_asymmetric_observers,observer_80ms,latest,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,36.90000000000002,0.6739130434782609,100,116.66666666666788,0,0.0008339881896972656
2,20hz_asymmetric_observers,observer_80ms,interpolate,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,12.300000000001406,0.021739130434782608,180.83333333333331,180.00000000000045,0,0.001374959945678711
2,20hz_application_omission,viewer,latest,281,217687,241,186632,241,0,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0007500648498535156
2,20hz_application_omission,viewer,interpolate,281,217687,241,186632,241,0,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.001291036605834961
2,20hz_application_reorder,viewer,latest,281,217687,280,216944,241,39,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0007920265197753906
2,20hz_application_reorder,viewer,interpolate,281,217687,280,216944,241,39,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.001291036605834961
3,20hz_nominal_rtt_0,viewer,latest,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,36.90000000000002,0.6739130434782609,16.666666666666863,33.33333333333394,0,0.0007920265197753906
3,20hz_nominal_rtt_0,viewer,interpolate,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,12.30000000000002,0.021739130434782608,100.69444444444444,100,0,0.0013339519500732422
3,20hz_nominal_rtt_100,viewer,latest,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,36.90000000000002,0.6739130434782609,66.66666666666667,83.33333333333394,0,0.0009169578552246094
3,20hz_nominal_rtt_100,viewer,interpolate,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,12.300000000001386,0.021739130434782608,150.69444444444446,150,0,0.0012919902801513672
3,20hz_nominal_rtt_200,viewer,latest,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,36.90000000000002,0.6739130434782609,116.66666666666667,133.33333333333394,0,0.0008330345153808594
3,20hz_nominal_rtt_200,viewer,interpolate,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,12.300000000001386,0.021739130434782608,200.69444444444446,200,0,0.001332998275756836
3,30hz_nominal_rtt_100,viewer,latest,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,24.60000000000004,0.5054229934924078,58.333333333333336,66.66666666666788,0,0.0007920265197753906
3,30hz_nominal_rtt_100,viewer,interpolate,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,12.30000000000002,0.010845986984815618,150.2314814814815,150,0,0.001332998275756836
3,60hz_nominal_rtt_100,viewer,latest,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,50,50,0,0.0008749961853027344
3,60hz_nominal_rtt_100,viewer,interpolate,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,150,150,0,0.0009589195251464844
3,20hz_ordered_jitter,viewer,latest,281,217687,279,216202,279,0,0,0,31.914460517803352,36.900000000000055,0.7120879120879121,75.90277777777777,116.66666666666788,0,0.0007920265197753906
3,20hz_ordered_jitter,viewer,interpolate,281,217687,279,216202,279,0,79,70,31.914460517803352,17.192362842522478,0.041304347826086954,112.29019079998112,133.33333333333303,0,0.0012919902801513672
3,20hz_asymmetric_observers,observer_20ms,latest,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,36.90000000000002,0.6739130434782609,50.00000000000002,66.66666666666788,0,0.0007910728454589844
3,20hz_asymmetric_observers,observer_20ms,interpolate,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,12.300000000001386,0.021739130434782608,121.25,120,0,0.001332998275756836
3,20hz_asymmetric_observers,observer_80ms,latest,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,36.90000000000002,0.6739130434782609,100,116.66666666666788,0,0.0008330345153808594
3,20hz_asymmetric_observers,observer_80ms,interpolate,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,12.300000000001406,0.021739130434782608,180.83333333333331,180.00000000000045,0,0.001416921615600586
3,20hz_application_omission,viewer,latest,281,217687,241,186632,241,0,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0008749961853027344
3,20hz_application_omission,viewer,interpolate,281,217687,241,186632,241,0,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.0012919902801513672
3,20hz_application_reorder,viewer,latest,281,217687,280,216944,241,39,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0007500648498535156
3,20hz_application_reorder,viewer,interpolate,281,217687,280,216944,241,39,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.0012090206146240234
4,20hz_nominal_rtt_0,viewer,latest,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,36.90000000000002,0.6739130434782609,16.666666666666863,33.33333333333394,0,0.0008330345153808594
4,20hz_nominal_rtt_0,viewer,interpolate,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,12.30000000000002,0.021739130434782608,100.69444444444444,100,0,0.0012080669403076172
4,20hz_nominal_rtt_100,viewer,latest,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,36.90000000000002,0.6739130434782609,66.66666666666667,83.33333333333394,0,0.0008330345153808594
4,20hz_nominal_rtt_100,viewer,interpolate,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,12.300000000001386,0.021739130434782608,150.69444444444446,150,0,0.0012500286102294922
4,20hz_nominal_rtt_200,viewer,latest,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,36.90000000000002,0.6739130434782609,116.66666666666667,133.33333333333394,0,0.0007910728454589844
4,20hz_nominal_rtt_200,viewer,interpolate,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,12.300000000001386,0.021739130434782608,200.69444444444446,200,0,0.0012090206146240234
4,30hz_nominal_rtt_100,viewer,latest,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,24.60000000000004,0.5054229934924078,58.333333333333336,66.66666666666788,0,0.0007920265197753906
4,30hz_nominal_rtt_100,viewer,interpolate,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,12.30000000000002,0.010845986984815618,150.2314814814815,150,0,0.0012907981872558594
4,60hz_nominal_rtt_100,viewer,latest,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,50,50,0,0.0007920265197753906
4,60hz_nominal_rtt_100,viewer,interpolate,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,150,150,0,0.0009160041809082031
4,20hz_ordered_jitter,viewer,latest,281,217687,279,216202,279,0,0,0,31.62185953562285,36.900000000000055,0.7067833698030634,77.43055555555556,116.66666666666788,0,0.0007500648498535156
4,20hz_ordered_jitter,viewer,interpolate,281,217687,279,216202,279,0,85,74,31.62185953562285,17.04542959738464,0.06086956521739131,113.42866743448273,133.33333333333348,0,0.0014591217041015625
4,20hz_asymmetric_observers,observer_20ms,latest,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,36.90000000000002,0.6739130434782609,50.00000000000002,66.66666666666788,0,0.0008339881896972656
4,20hz_asymmetric_observers,observer_20ms,interpolate,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,12.300000000001386,0.021739130434782608,121.25,120,0,0.001291036605834961
4,20hz_asymmetric_observers,observer_80ms,latest,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,36.90000000000002,0.6739130434782609,100,116.66666666666788,0,0.0007920265197753906
4,20hz_asymmetric_observers,observer_80ms,interpolate,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,12.300000000001406,0.021739130434782608,180.83333333333331,180.00000000000045,0,0.0012919902801513672
4,20hz_application_omission,viewer,latest,281,217687,241,186632,241,0,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0007081031799316406
4,20hz_application_omission,viewer,interpolate,281,217687,241,186632,241,0,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.0010840892791748047
4,20hz_application_reorder,viewer,latest,281,217687,280,216944,241,39,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0007500648498535156
4,20hz_application_reorder,viewer,interpolate,281,217687,280,216944,241,39,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.0014581680297851562
5,20hz_nominal_rtt_0,viewer,latest,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,36.90000000000002,0.6739130434782609,16.666666666666863,33.33333333333394,0,0.0009169578552246094
5,20hz_nominal_rtt_0,viewer,interpolate,281,217687,281,217687,281,0,0,0,1.4022068202774e-13,12.30000000000002,0.021739130434782608,100.69444444444444,100,0,0.0014581680297851562
5,20hz_nominal_rtt_100,viewer,latest,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,36.90000000000002,0.6739130434782609,66.66666666666667,83.33333333333394,0,0.0009160041809082031
5,20hz_nominal_rtt_100,viewer,interpolate,281,217687,280,216944,280,0,0,0,1.4044727064990811e-13,12.300000000001386,0.021739130434782608,150.69444444444446,150,0,0.0012090206146240234
5,20hz_nominal_rtt_200,viewer,latest,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,36.90000000000002,0.6739130434782609,116.66666666666667,133.33333333333394,0,0.0009169578552246094
5,20hz_nominal_rtt_200,viewer,interpolate,281,217687,279,216202,279,0,0,0,1.406137857352254e-13,12.300000000001386,0.021739130434782608,200.69444444444446,200,0,0.0015828609466552734
5,30hz_nominal_rtt_100,viewer,latest,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,24.60000000000004,0.5054229934924078,58.333333333333336,66.66666666666788,0,0.0007500648498535156
5,30hz_nominal_rtt_100,viewer,interpolate,421,326289,419,324804,419,0,0,0,6.095128614209366e-13,12.30000000000002,0.010845986984815618,150.2314814814815,150,0,0.0012500286102294922
5,60hz_nominal_rtt_100,viewer,latest,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,50,50,0,0.0007500648498535156
5,60hz_nominal_rtt_100,viewer,interpolate,841,651857,838,649630,838,0,0,0,6.104576109915743e-13,12.30000000000002,0,150,150,0,0.0008330345153808594
