addedRoundTripMs,repetition,client,snapshots,snapshotPayloadBytes,inputMessages,inputPayloadBytes,probeRttP50Ms,probeRttP95Ms,delayedProbeP95Ms,inputAckP95Ms,underflows,serverTicks,droppedMs
0,1,1,106,80377,54,4365,5.218540906906128,6.31725001335144,10.914375066757202,55.2341251373291,0,327,0
0,1,2,106,80377,54,4365,4.883666038513184,5.993875026702881,10.826625108718872,55.59879112243652,0,327,0
0,2,1,106,78870,54,4365,2.1541659832000732,2.650416851043701,5.760792016983032,50.56750011444092,0,326,0
0,2,2,106,78870,54,4365,1.8577091693878174,2.4749999046325684,5.638958215713501,50.645833015441895,0,326,0
0,3,1,107,81068,54,4365,0.44900012016296387,0.5174999237060547,3.3453330993652344,56.469083070755005,0,327,0
0,3,2,107,81068,54,4365,0.42149996757507324,0.4596672058105469,3.333624839782715,56.481250047683716,0,327,0
100,1,1,111,82610,54,4365,1.0680410861968994,1.5167088508605957,105.1650002002716,153.68733382225037,0,333,0
100,1,2,111,82610,54,4365,1.3197498321533203,1.7446250915527344,105.22612500190735,153.70670795440674,0,333,0
100,2,1,109,82188,54,4365,0.5688331127166748,2.9969160556793213,106.07829213142395,154.1120409965515,0,332,0
100,2,2,109,82188,54,4419,0.5012500286102295,2.6727499961853027,106.10483312606812,154.48308300971985,0,332,0
100,3,1,110,84171,54,4419,1.509166955947876,3.4560418128967285,105.48716711997986,156.21220898628235,0,332,0
100,3,2,110,84171,54,4419,1.3507499694824219,3.26716685295105,106.52616691589355,157.22391605377197,0,332,0
200,1,1,112,83526,53,4337,1.7996251583099365,2.39854097366333,205.31308388710022,249.7425000667572,0,338,0
200,1,2,112,83526,53,4337,1.6427500247955322,2.2271668910980225,205.2980830669403,253.00625014305115,0,338,0
200,2,1,113,85308,54,4419,1.6927080154418945,4.256249904632568,206.94370794296265,253.05624985694885,0,338,0
200,2,2,113,85308,54,4419,1.533707857131958,3.911916971206665,207.02041697502136,252.9340419769287,0,338,0
200,3,1,112,85157,54,4419,1.6474170684814453,2.165165901184082,205.40787506103516,255.53079199790955,0,338,0
200,3,2,112,85157,54,4419,1.5062079429626465,2.812041997909546,205.3981249332428,255.51716709136963,0,338,0
